epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3921,1.89362,1.9845,1.05872,0.21641,0.23764,0.17668,0.09166,1.78247,1.36895,1.00496,0.0033251,0.0033251,0.0700741
2,109.378,1.8318,1.45494,0.99174,0.46372,0.23215,0.21066,0.11528,1.69956,1.28372,0.96098,0.00643871,0.00643871,0.0398543
3,160.716,1.83564,1.39139,0.97956,0.30146,0.23886,0.22669,0.11943,1.71874,1.23745,0.97567,0.00933231,0.00933231,0.00941462
4,210.955,1.79838,1.34064,0.96938,0.52149,0.24478,0.2362,0.12824,1.67316,1.29378,0.95002,0.00901,0.00901,0.00901
5,263.301,1.74765,1.28517,0.96021,0.33973,0.26624,0.26392,0.14337,1.59603,1.16929,0.93724,0.00868,0.00868,0.00868
6,314.044,1.72375,1.24003,0.94943,0.34757,0.27545,0.27288,0.14987,1.58887,1.1609,0.93021,0.00835,0.00835,0.00835
7,364.654,1.69613,1.20722,0.94399,0.35741,0.28519,0.28018,0.15272,1.56293,1.12177,0.92272,0.00802,0.00802,0.00802
8,415.487,1.67075,1.18026,0.93731,0.37891,0.28953,0.28904,0.15845,1.54957,1.09845,0.91989,0.00769,0.00769,0.00769
9,465.836,1.6472,1.15993,0.93316,0.37373,0.29517,0.29764,0.16512,1.51047,1.09362,0.91537,0.00736,0.00736,0.00736
10,516.856,1.64159,1.14446,0.92655,0.39248,0.30113,0.29989,0.16466,1.51821,1.06525,0.91595,0.00703,0.00703,0.00703
11,567.081,1.61272,1.11799,0.92578,0.40572,0.29706,0.30482,0.16696,1.51592,1.07171,0.91691,0.0067,0.0067,0.0067
12,618.919,1.6027,1.11255,0.92132,0.40002,0.31289,0.3095,0.16942,1.50751,1.05705,0.91189,0.00637,0.00637,0.00637
13,668.923,1.58816,1.09099,0.91957,0.40328,0.30235,0.31564,0.17249,1.4962,1.05119,0.90651,0.00604,0.00604,0.00604
14,719.388,1.57649,1.0863,0.9143,0.43309,0.30764,0.31322,0.1725,1.50541,1.04266,0.91037,0.00571,0.00571,0.00571
15,771.782,1.58682,1.07874,0.91318,0.41936,0.32446,0.32482,0.18032,1.46254,1.01262,0.904,0.00538,0.00538,0.00538
16,822.553,1.57201,1.06542,0.91311,0.42185,0.32071,0.32389,0.17856,1.48253,1.01837,0.90465,0.00505,0.00505,0.00505
17,875.81,1.55893,1.05928,0.90879,0.42731,0.32548,0.33065,0.18278,1.47543,1.00337,0.90562,0.00472,0.00472,0.00472
18,926.893,1.5531,1.04861,0.9078,0.42005,0.33302,0.33224,0.18341,1.46396,1.01352,0.90027,0.00439,0.00439,0.00439
19,977.086,1.53329,1.04041,0.90703,0.42758,0.3334,0.33459,0.18578,1.45582,1.00308,0.89914,0.00406,0.00406,0.00406
20,1027.95,1.52669,1.02936,0.90425,0.4497,0.33129,0.33646,0.18819,1.44763,0.99771,0.89565,0.00373,0.00373,0.00373
21,1093.48,1.47858,1.00689,0.90706,0.42881,0.33449,0.33502,0.186,1.45811,0.99557,0.89711,0.0034,0.0034,0.0034
22,1139.48,1.46293,0.9921,0.90334,0.41716,0.32333,0.32307,0.18039,1.46833,1.00456,0.90162,0.00307,0.00307,0.00307
23,1185.4,1.45579,0.98158,0.90227,0.43486,0.33926,0.339,0.1892,1.4375,0.97745,0.89505,0.00274,0.00274,0.00274
24,1231.59,1.45199,0.97303,0.89838,0.43751,0.33655,0.33932,0.19107,1.43244,0.96339,0.89255,0.00241,0.00241,0.00241
25,1278.3,1.44377,0.9669,0.89858,0.43389,0.34238,0.34229,0.19162,1.43191,0.96182,0.89417,0.00208,0.00208,0.00208
26,1325.12,1.44128,0.95845,0.89598,0.44421,0.3479,0.35035,0.19579,1.42189,0.95745,0.89263,0.00175,0.00175,0.00175
27,1370.84,1.41694,0.94247,0.89452,0.44435,0.34814,0.35116,0.19651,1.41181,0.95587,0.88912,0.00142,0.00142,0.00142
28,1416.28,1.42036,0.94015,0.89438,0.44803,0.34378,0.35155,0.19739,1.40881,0.94652,0.88945,0.00109,0.00109,0.00109
29,1462.71,1.40875,0.93051,0.89054,0.45001,0.34896,0.35307,0.19889,1.40864,0.94182,0.88826,0.00076,0.00076,0.00076
30,1509.18,1.39674,0.92021,0.88997,0.44366,0.35443,0.35525,0.1996,1.40183,0.93714,0.8879,0.00043,0.00043,0.00043
